http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,         72656,    2136,    2136,    2136,     2.1,     1.3,     5.2,    12.2,    67.5,    78.0,   35.4,  0.02471,      0,      0,       0,       0,       0,       0
total,         74867,    2200,    2200,    2200,     2.0,     1.3,     5.1,    10.6,    56.3,    62.4,   36.4,  0.02405,      0,      0,       0,       0,       0,       0
total,         76919,    2045,    2045,    2045,     2.1,     1.2,     4.9,    18.1,    90.5,   104.1,   37.4,  0.02340,      0,      0,       0,       0,       0,       0
total,         78818,    1891,    1891,    1891,     2.2,     1.3,     5.3,    22.6,    63.5,    76.3,   38.4,  0.02293,      0,      0,       0,       0,       0,       0
total,         81458,    2629,    2629,    2629,     1.4,     1.3,     2.5,     3.1,     6.4,     8.7,   39.4,  0.02292,      0,      0,       0,       0,       0,       0
total,         84081,    2613,    2613,    2613,     1.5,     1.3,     2.7,     4.7,    12.2,    12.3,   40.4,  0.02282,      0,      0,       0,       0,       0,       0
total,         85952,    1899,    1899,    1899,     2.1,     1.5,     4.0,    13.1,    72.7,    77.3,   41.4,  0.02240,      0,      0,       0,       0,       0,       0
total,         88579,    2476,    2476,    2476,     1.6,     1.2,     2.6,     9.9,    54.0,    60.0,   42.4,  0.02225,      0,      0,       0,       0,       0,       0
total,         91441,    2851,    2851,    2851,     1.3,     1.1,     2.2,     3.1,    14.8,    15.3,   43.4,  0.02278,      0,      0,       0,       0,       0,       0
total,         94148,    2696,    2696,    2696,     1.4,     1.2,     2.6,     5.2,    12.5,    14.7,   44.4,  0.02273,      0,      0,       0,       0,       0,       0
total,         96517,    2359,    2359,    2359,     1.7,     1.3,     3.6,     9.4,    17.5,    22.6,   45.4,  0.02225,      0,      0,       0,       0,       0,       0
total,         98522,    1990,    1990,    1990,     2.2,     1.3,     5.1,    13.5,    73.9,    75.8,   46.5,  0.02178,      0,      0,       0,       0,       0,       0
total,        100905,    2323,    2323,    2323,     1.9,     1.2,     4.7,    11.5,    63.9,    65.0,   47.5,  0.02140,      0,      0,       0,       0,       0,       0
total,        103523,    2609,    2609,    2609,     1.7,     1.1,     3.6,     8.5,    64.1,    82.3,   48.5,  0.02148,      0,      0,       0,       0,       0,       0
total,        105628,    2089,    2089,    2089,     2.1,     1.2,     4.3,    23.0,    76.3,    78.2,   49.5,  0.02110,      0,      0,       0,       0,       0,       0
total,        107684,    2049,    2049,    2049,     2.1,     1.4,     5.8,    11.8,    34.9,    39.3,   50.5,  0.02077,      0,      0,       0,       0,       0,       0
total,        109946,    2251,    2251,    2251,     1.8,     1.3,     3.3,     8.1,    48.0,    64.4,   51.5,  0.02036,      0,      0,       0,       0,       0,       0
total,        112120,    2208,    2208,    2208,     1.8,     1.4,     3.0,    11.0,    64.5,    64.8,   52.5,  0.01996,      0,      0,       0,       0,       0,       0
total,        114431,    2228,    2228,    2228,     1.8,     1.3,     3.4,     9.5,    44.8,    56.3,   53.5,  0.01959,      0,      0,       0,       0,       0,       0
total,        116944,    2506,    2506,    2506,     1.6,     1.1,     3.4,     8.8,    39.1,    43.5,   54.5,  0.01939,      0,      0,       0,       0,       0,       0
total,        119632,    2676,    2676,    2676,     1.4,     1.1,     2.2,     6.0,    50.3,    51.7,   55.5,  0.01931,      0,      0,       0,       0,       0,       0
total,        122477,    2835,    2835,    2835,     1.2,     1.1,     2.0,     2.8,    30.0,    41.5,   56.5,  0.01956,      0,      0,       0,       0,       0,       0
total,        125406,    2918,    2918,    2918,     1.2,     1.1,     2.0,     2.7,     4.6,     5.8,   57.5,  0.01980,      0,      0,       0,       0,       0,       0
total,        127837,    2422,    2422,    2422,     1.7,     1.2,     4.1,    10.3,    19.1,    20.6,   58.5,  0.01948,      0,      0,       0,       0,       0,       0
total,        130650,    2801,    2801,    2801,     1.3,     1.2,     2.2,     3.2,    11.7,    13.4,   59.5,  0.01952,      0,      0,       0,       0,       0,       0
total,        133345,    2689,    2689,    2689,     1.4,     1.1,     2.1,     3.6,    64.1,    65.5,   60.5,  0.01959,      0,      0,       0,       0,       0,       0
total,        135883,    2431,    2431,    2431,     1.6,     1.3,     3.1,     8.3,    22.2,    44.1,   61.6,  0.01927,      0,      0,       0,       0,       0,       0
total,        137930,    2039,    2039,    2039,     2.1,     1.4,     5.9,    14.0,    41.2,    47.8,   62.6,  0.01902,      0,      0,       0,       0,       0,       0
total,        139525,    1585,    1585,    1585,     2.8,     1.4,     5.5,    16.6,   234.6,   234.8,   63.6,  0.01886,      0,      0,       0,       0,       0,       0
total,        141330,    1793,    1793,    1793,     2.5,     1.5,     5.6,    15.3,    91.8,    91.9,   64.6,  0.01875,      0,      0,       0,       0,       0,       0
total,        143026,    1685,    1685,    1685,     2.7,     1.4,     5.4,    44.7,    69.2,    70.0,   65.6,  0.01880,      0,      0,       0,       0,       0,       0
total,        145260,    2215,    2215,    2215,     2.0,     1.2,     5.0,    11.9,    42.1,    43.3,   66.6,  0.01852,      0,      0,       0,       0,       0,       0
total,        147800,    2531,    2531,    2531,     1.7,     1.2,     4.1,     8.6,    33.5,    37.6,   67.6,  0.01830,      0,      0,       0,       0,       0,       0
total,        150193,    2380,    2380,    2380,     1.7,     1.2,     3.0,     8.3,   102.3,   105.8,   68.6,  0.01814,      0,      0,       0,       0,       0,       0
total,        153137,    2936,    2936,    2936,     1.2,     1.1,     2.1,     3.1,    11.7,    15.0,   69.6,  0.01829,      0,      0,       0,       0,       0,       0
total,        155784,    2635,    2635,    2635,     1.4,     1.2,     2.7,     5.3,    17.5,    18.5,   70.6,  0.01812,      0,      0,       0,       0,       0,       0
total,        157642,    1848,    1848,    1848,     2.2,     1.4,     4.0,    15.5,   143.6,   144.0,   71.6,  0.01793,      0,      0,       0,       0,       0,       0
total,        159946,    2293,    2293,    2293,     1.7,     1.3,     4.4,     8.5,    12.9,    18.0,   72.7,  0.01768,      0,      0,       0,       0,       0,       0
total,        162706,    2749,    2749,    2749,     1.3,     1.1,     2.2,     3.4,    15.2,    26.1,   73.7,  0.01761,      0,      0,       0,       0,       0,       0
total,        165623,    2910,    2910,    2910,     1.2,     1.1,     2.1,     2.6,     5.0,     6.4,   74.7,  0.01768,      0,      0,       0,       0,       0,       0
total,        167970,    2337,    2337,    2337,     1.6,     1.2,     3.0,     9.1,    39.3,    63.0,   75.7,  0.01744,      0,      0,       0,       0,       0,       0
total,        170843,    2849,    2849,    2849,     1.3,     1.1,     2.1,     3.8,    20.4,    35.4,   76.7,  0.01749,      0,      0,       0,       0,       0,       0
total,        173763,    2916,    2916,    2916,     1.2,     1.1,     2.2,     3.4,     7.3,    17.9,   77.7,  0.01754,      0,      0,       0,       0,       0,       0
