http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        400784,     563,     563,     563,     5.1,     3.2,    13.1,    39.7,    97.9,    97.9,  665.3,  0.00670,      0,      0,       0,       0,       0,       0
total,        401464,     609,     609,     609,     5.6,     3.2,    14.2,    55.8,   148.8,   148.8,  666.4,  0.00669,      0,      0,       0,       0,       0,       0
total,        402100,     617,     617,     617,     5.3,     3.1,    12.4,    61.9,    89.2,    89.2,  667.4,  0.00668,      0,      0,       0,       0,       0,       0
total,        402577,     473,     473,     473,     6.6,     2.9,    15.4,    99.0,   125.7,   125.7,  668.4,  0.00668,      0,      0,       0,       0,       0,       0
total,        403244,     660,     660,     660,     5.1,     3.1,    11.0,    23.9,   179.4,   179.4,  669.4,  0.00668,      0,      0,       0,       0,       0,       0
total,        403892,     638,     638,     638,     5.0,     2.9,    10.8,    21.1,   158.3,   158.3,  670.5,  0.00667,      0,      0,       0,       0,       0,       0
total,        404425,     529,     529,     529,     6.5,     3.0,    14.3,   107.2,   149.3,   149.3,  671.5,  0.00666,      0,      0,       0,       0,       0,       0
total,        405025,     567,     567,     567,     6.2,     2.9,    14.3,    95.4,   139.7,   139.7,  672.5,  0.00665,      0,      0,       0,       0,       0,       0
total,        405784,     756,     756,     756,     4.3,     3.0,    11.0,    29.1,    54.2,    54.2,  673.5,  0.00665,      0,      0,       0,       0,       0,       0
total,        406530,     719,     719,     719,     4.7,     2.9,    11.5,    40.0,    82.3,    82.3,  674.6,  0.00664,      0,      0,       0,       0,       0,       0
total,        407156,     615,     615,     615,     5.7,     3.1,    14.8,    74.2,    82.6,    82.6,  675.6,  0.00663,      0,      0,       0,       0,       0,       0
total,        407796,     635,     635,     635,     4.9,     2.8,    13.0,    58.4,    97.8,    97.8,  676.6,  0.00662,      0,      0,       0,       0,       0,       0
total,        408396,     589,     589,     589,     4.8,     2.5,    11.5,    66.7,   128.9,   128.9,  677.6,  0.00661,      0,      0,       0,       0,       0,       0
total,        408983,     583,     583,     583,     4.8,     3.0,    12.7,    47.2,    74.3,    74.3,  678.6,  0.00660,      0,      0,       0,       0,       0,       0
total,        409591,     602,     602,     602,     5.2,     3.0,    12.4,    64.0,    76.2,    76.2,  679.6,  0.00659,      0,      0,       0,       0,       0,       0
total,        410171,     574,     574,     574,     4.6,     2.5,    12.4,    55.8,    90.9,    90.9,  680.6,  0.00658,      0,      0,       0,       0,       0,       0
total,        410674,     498,     498,     498,     7.9,     3.2,    18.2,   148.5,   155.2,   155.2,  681.6,  0.00658,      0,      0,       0,       0,       0,       0
total,        411308,     625,     625,     625,     5.2,     3.2,    13.0,    37.3,   108.6,   108.6,  682.7,  0.00657,      0,      0,       0,       0,       0,       0
total,        411875,     576,     576,     576,     4.8,     3.0,    12.4,    23.0,    74.6,    74.6,  683.6,  0.00656,      0,      0,       0,       0,       0,       0
total,        412541,     597,     597,     597,     5.1,     2.9,    10.9,    56.2,   122.1,   122.1,  684.8,  0.00655,      0,      0,       0,       0,       0,       0
total,        413054,     509,     509,     509,     6.2,     2.7,    17.0,    82.2,    96.5,    96.5,  685.8,  0.00655,      0,      0,       0,       0,       0,       0
total,        413722,     658,     658,     658,     5.5,     3.1,    13.3,    58.3,   128.8,   128.8,  686.8,  0.00654,      0,      0,       0,       0,       0,       0
total,        414227,     494,     494,     494,     7.2,     3.3,    15.2,    90.0,   108.0,   108.0,  687.8,  0.00654,      0,      0,       0,       0,       0,       0
total,        414944,     708,     708,     708,     4.8,     2.8,    10.9,    58.6,    83.1,    83.1,  688.8,  0.00653,      0,      0,       0,       0,       0,       0
total,        415572,     623,     623,     623,     4.8,     3.8,    12.4,    18.9,    31.4,    31.4,  689.8,  0.00652,      0,      0,       0,       0,       0,       0
total,        416164,     587,     587,     587,     5.4,     3.4,    13.6,    25.8,   110.7,   110.7,  690.8,  0.00651,      0,      0,       0,       0,       0,       0
total,        416563,     414,     414,     414,     9.0,     3.6,    37.7,   149.6,   159.8,   159.8,  691.8,  0.00651,      0,      0,       0,       0,       0,       0
total,        417161,     557,     557,     557,     6.1,     3.1,    14.1,    70.8,    88.4,    88.4,  692.9,  0.00651,      0,      0,       0,       0,       0,       0
total,        417760,     587,     587,     587,     6.0,     3.1,    15.5,    78.8,   120.2,   120.2,  693.9,  0.00650,      0,      0,       0,       0,       0,       0
total,        418406,     632,     632,     632,     5.1,     3.1,    13.1,    24.7,    86.7,    86.7,  694.9,  0.00649,      0,      0,       0,       0,       0,       0
total,        419064,     650,     650,     650,     4.8,     2.8,    14.1,    50.7,    88.6,    88.6,  695.9,  0.00648,      0,      0,       0,       0,       0,       0
total,        419598,     531,     531,     531,     6.7,     2.9,    20.2,    91.1,   131.3,   131.3,  696.9,  0.00647,      0,      0,       0,       0,       0,       0
total,        420018,     401,     401,     401,     9.2,     2.8,    44.7,   112.8,   172.9,   172.9,  698.0,  0.00649,      0,      0,       0,       0,       0,       0
total,        420574,     550,     550,     550,     5.3,     3.0,    18.3,    47.5,    51.5,    51.5,  699.0,  0.00648,      0,      0,       0,       0,       0,       0
total,        421163,     582,     582,     582,     6.1,     2.9,    15.0,   102.4,   135.4,   135.4,  700.0,  0.00647,      0,      0,       0,       0,       0,       0
total,        421951,     782,     782,     782,     3.8,     2.9,     8.4,    17.1,    55.3,    55.3,  701.0,  0.00647,      0,      0,       0,       0,       0,       0
total,        422575,     625,     625,     625,     5.1,     3.6,    12.7,    22.5,    68.3,    68.3,  702.0,  0.00646,      0,      0,       0,       0,       0,       0
total,        423271,     639,     639,     639,     5.5,     3.5,    13.2,    46.1,    97.4,    97.4,  703.1,  0.00645,      0,      0,       0,       0,       0,       0
total,        423880,     566,     566,     566,     6.4,     3.8,    14.1,    71.7,   101.5,   101.5,  704.2,  0.00645,      0,      0,       0,       0,       0,       0
total,        424383,     497,     497,     497,     7.1,     3.8,    24.3,    68.3,    80.8,    80.8,  705.2,  0.00644,      0,      0,       0,       0,       0,       0
total,        424956,     566,     566,     566,     6.6,     3.0,    11.3,   143.0,   251.0,   251.0,  706.2,  0.00644,      0,      0,       0,       0,       0,       0
total,        425545,     589,     589,     589,     6.5,     4.1,    15.3,    59.9,    77.8,    77.8,  707.2,  0.00643,      0,      0,       0,       0,       0,       0
total,        426299,     731,     731,     731,     4.7,     3.3,    10.9,    38.0,    88.5,    88.5,  708.2,  0.00642,      0,      0,       0,       0,       0,       0
total,        426867,     562,     562,     562,     6.7,     4.5,    15.7,    55.4,    76.8,    76.8,  709.2,  0.00642,      0,      0,       0,       0,       0,       0
total,        427430,     555,     555,     555,     6.5,     4.1,    16.2,    22.0,   111.1,   111.1,  710.3,  0.00641,      0,      0,       0,       0,       0,       0
total,        427937,     481,     481,     481,     6.2,     3.5,    12.7,    69.2,   164.9,   164.9,  711.3,  0.00640,      0,      0,       0,       0,       0,       0
total,        428363,     420,     420,     420,     9.0,     4.0,    15.3,   170.4,   217.5,   217.5,  712.3,  0.00640,      0,      0,       0,       0,       0,       0
total,        428742,     382,     382,     382,     9.3,     3.8,    21.8,   150.8,   161.9,   161.9,  713.3,  0.00642,      0,      0,       0,       0,       0,       0
total,        429261,     502,     502,     502,     8.0,     4.3,    27.6,    78.6,   134.5,   134.5,  714.3,  0.00642,      0,      0,       0,       0,       0,       0
total,        429952,     681,     681,     681,     5.2,     3.7,    10.5,    18.4,   121.5,   121.5,  715.4,  0.00642,      0,      0,       0,       0,       0,       0
total,        430642,     680,     680,     680,     5.2,     3.6,    11.1,    57.2,    85.3,    85.3,  716.4,  0.00641,      0,      0,       0,       0,       0,       0
total,        431245,     598,     598,     598,     5.1,     3.2,    11.0,    51.7,    86.5,    86.5,  717.4,  0.00640,      0,      0,       0,       0,       0,       0
total,        431851,     601,     601,     601,     6.5,     4.2,    14.4,    61.7,    82.5,    82.5,  718.4,  0.00639,      0,      0,       0,       0,       0,       0
total,        432371,     516,     516,     516,     6.8,     3.3,    18.1,    76.3,    84.0,    84.0,  719.4,  0.00639,      0,      0,       0,       0,       0,       0
total,        432933,     558,     558,     558,     7.2,     4.9,    17.0,    79.5,    93.7,    93.7,  720.4,  0.00638,      0,      0,       0,       0,       0,       0
total,        433532,     593,     593,     593,     6.6,     4.6,    15.8,    55.0,    90.0,    90.0,  721.4,  0.00637,      0,      0,       0,       0,       0,       0
total,        434106,     531,     531,     531,     6.1,     3.9,    14.6,    67.6,   111.9,   111.9,  722.5,  0.00637,      0,      0,       0,       0,       0,       0
total,        434684,     526,     526,     526,     7.1,     4.0,    19.8,    78.2,   116.4,   116.4,  723.6,  0.00636,      0,      0,       0,       0,       0,       0
total,        435200,     510,     510,     510,     7.5,     3.9,    19.2,    68.9,   133.6,   133.6,  724.6,  0.00635,      0,      0,       0,       0,       0,       0
total,        435697,     494,     494,     494,     5.4,     2.8,    10.2,   137.5,   175.7,   175.7,  725.6,  0.00635,      0,      0,       0,       0,       0,       0
total,        436160,     475,     475,     475,     7.8,     3.5,    21.0,    96.8,   119.6,   119.6,  726.6,  0.00634,      0,      0,       0,       0,       0,       0
total,        436695,     492,     492,     492,     7.8,     3.3,    29.4,    90.5,   204.5,   204.5,  727.7,  0.00634,      0,      0,       0,       0,       0,       0
total,        437185,     487,     487,     487,     7.4,     3.2,    31.6,    87.1,   136.6,   136.6,  728.7,  0.00634,      0,      0,       0,       0,       0,       0
total,        437930,     736,     736,     736,     3.7,     2.8,     9.0,    15.3,    29.0,    29.0,  729.7,  0.00633,      0,      0,       0,       0,       0,       0
total,        438477,     541,     541,     541,     6.6,     3.3,    19.8,    77.5,   101.9,   101.9,  730.7,  0.00633,      0,      0,       0,       0,       0,       0
total,        439054,     569,     569,     569,     6.5,     3.4,    14.7,    85.9,   113.6,   113.6,  731.7,  0.00632,      0,      0,       0,       0,       0,       0
total,        439577,     516,     516,     516,     4.0,     2.3,    10.8,    28.0,    71.0,    71.0,  732.7,  0.00631,      0,      0,       0,       0,       0,       0
total,        440133,     559,     559,     559,     5.6,     2.8,    12.3,    87.9,   132.3,   132.3,  733.7,  0.00631,      0,      0,       0,       0,       0,       0
total,        440780,     611,     611,     611,     5.2,     3.2,    11.4,    82.0,   100.7,   100.7,  734.8,  0.00630,      0,      0,       0,       0,       0,       0
total,        441273,     487,     487,     487,     6.6,     3.2,    14.6,    89.4,    92.4,    92.4,  735.8,  0.00630,      0,      0,       0,       0,       0,       0
total,        441756,     437,     437,     437,     8.9,     3.9,    48.2,   103.2,   160.4,   160.4,  736.9,  0.00631,      0,      0,       0,       0,       0,       0
total,        442412,     626,     626,     626,     5.8,     3.4,    12.5,    72.2,    96.1,    96.1,  738.0,  0.00630,      0,      0,       0,       0,       0,       0
total,        442983,     566,     566,     566,     5.2,     3.2,    12.0,    56.0,   108.5,   108.5,  739.0,  0.00629,      0,      0,       0,       0,       0,       0
total,        443663,     708,     708,     708,     4.9,     3.1,    13.7,    36.0,    57.0,    57.0,  739.9,  0.00628,      0,      0,       0,       0,       0,       0
total,        444362,     639,     639,     639,     5.7,     3.4,    11.9,    74.9,    97.0,    97.0,  741.0,  0.00627,      0,      0,       0,       0,       0,       0
total,        444918,     544,     544,     544,     6.7,     4.8,    15.6,    22.2,   123.7,   123.7,  742.0,  0.00627,      0,      0,       0,       0,       0,       0
total,        445332,     409,     409,     409,     8.5,     3.2,    32.0,   116.2,   154.8,   154.8,  743.1,  0.00627,      0,      0,       0,       0,       0,       0
total,        445879,     542,     542,     542,     6.9,     4.1,    14.1,   104.1,   110.3,   110.3,  744.1,  0.00627,      0,      0,       0,       0,       0,       0
total,        446312,     428,     428,     428,     8.3,     4.2,    19.7,   112.7,   204.8,   204.8,  745.1,  0.00627,      0,      0,       0,       0,       0,       0
total,        446771,     454,     454,     454,     5.6,     3.0,    13.7,    75.5,    87.8,    87.8,  746.1,  0.00627,      0,      0,       0,       0,       0,       0
total,        447393,     577,     577,     577,     5.6,     3.5,    15.0,    46.9,    86.1,    86.1,  747.2,  0.00627,      0,      0,       0,       0,       0,       0
total,        448085,     685,     685,     685,     4.9,     2.7,    12.8,    52.5,   107.6,   107.6,  748.2,  0.00626,      0,      0,       0,       0,       0,       0
total,        448752,     668,     668,     668,     4.9,     3.0,    11.4,    23.4,   102.5,   102.5,  749.2,  0.00625,      0,      0,       0,       0,       0,       0
total,        449268,     496,     496,     496,     5.5,     2.4,    15.4,    66.2,    71.4,    71.4,  750.2,  0.00625,      0,      0,       0,       0,       0,       0
total,        449771,     484,     484,     484,     8.1,     3.3,    47.1,    84.9,   109.5,   109.5,  751.2,  0.00625,      0,      0,       0,       0,       0,       0
total,        450322,     546,     546,     546,     4.9,     2.7,    12.8,    55.3,   141.3,   141.3,  752.3,  0.00624,      0,      0,       0,       0,       0,       0
total,        450866,     523,     523,     523,     5.6,     3.0,    17.4,    39.6,    84.0,    84.0,  753.3,  0.00624,      0,      0,       0,       0,       0,       0
total,        451465,     593,     593,     593,     5.2,     2.9,    12.9,    64.7,    69.7,    69.7,  754.3,  0.00623,      0,      0,       0,       0,       0,       0
total,        452117,     640,     640,     640,     5.0,     3.2,    12.0,    46.3,    89.7,    89.7,  755.3,  0.00622,      0,      0,       0,       0,       0,       0
total,        452672,     549,     549,     549,     5.6,     2.9,    11.5,    93.4,   129.7,   129.7,  756.3,  0.00622,      0,      0,       0,       0,       0,       0
total,        453059,     383,     383,     383,    10.1,     3.3,    70.1,   102.6,   217.7,   217.7,  757.3,  0.00623,      0,      0,       0,       0,       0,       0
total,        453640,     578,     578,     578,     5.7,     3.3,    15.5,    59.0,   102.1,   102.1,  758.3,  0.00623,      0,      0,       0,       0,       0,       0
total,        454010,     395,     395,     395,     8.8,     3.2,    46.9,   121.3,   144.0,   144.0,  759.3,  0.00623,      0,      0,       0,       0,       0,       0
total,        454547,     452,     452,     452,     9.0,     3.9,    22.6,    92.9,   202.3,   202.3,  760.5,  0.00623,      0,      0,       0,       0,       0,       0
total,        455151,     585,     585,     585,     5.0,     3.3,    11.6,    20.1,   115.7,   115.7,  761.5,  0.00622,      0,      0,       0,       0,       0,       0
total,        455768,     589,     589,     589,     4.8,     3.1,    11.1,    47.0,    73.9,    73.9,  762.6,  0.00621,      0,      0,       0,       0,       0,       0
total,        456319,     532,     532,     532,     5.9,     3.2,    13.6,    58.3,    92.5,    92.5,  763.6,  0.00621,      0,      0,       0,       0,       0,       0
total,        456842,     520,     520,     520,     6.9,     3.2,    15.8,    94.2,   103.7,   103.7,  764.6,  0.00620,      0,      0,       0,       0,       0,       0
total,        457382,     538,     538,     538,     5.9,     3.0,    16.5,    52.9,   109.2,   109.2,  765.6,  0.00620,      0,      0,       0,       0,       0,       0
total,        458050,     628,     628,     628,     5.1,     3.0,    13.2,    51.7,    69.2,    69.2,  766.7,  0.00619,      0,      0,       0,       0,       0,       0
total,        458682,     544,     544,     544,     6.5,     3.2,    16.7,    73.3,   135.8,   135.8,  767.8,  0.00618,      0,      0,       0,       0,       0,       0
total,        459298,     608,     608,     608,     5.7,     3.7,    14.4,    25.9,   103.2,   103.2,  768.8,  0.00617,      0,      0,       0,       0,       0,       0
total,        459866,     556,     556,     556,     6.5,     4.0,    13.1,    79.7,   165.6,   165.6,  769.9,  0.00617,      0,      0,       0,       0,       0,       0
total,        460464,     594,     594,     594,     5.8,     2.7,    14.7,    73.9,    97.6,    97.6,  770.9,  0.00616,      0,      0,       0,       0,       0,       0
total,        461041,     574,     574,     574,     5.8,     2.6,    13.8,   102.1,   115.8,   115.8,  771.9,  0.00615,      0,      0,       0,       0,       0,       0
total,        461525,     462,     462,     462,     6.5,     3.4,    14.9,    89.5,   111.1,   111.1,  772.9,  0.00615,      0,      0,       0,       0,       0,       0
total,        461955,     420,     420,     420,     6.2,     2.7,    14.5,    86.5,    93.7,    93.7,  773.9,  0.00616,      0,      0,       0,       0,       0,       0
total,        462615,     652,     652,     652,     5.4,     3.4,    11.7,    23.9,   148.0,   148.0,  775.0,  0.00616,      0,      0,       0,       0,       0,       0
total,        463096,     490,     490,     490,     6.6,     3.3,    15.1,   101.6,   106.2,   106.2,  775.9,  0.00616,      0,      0,       0,       0,       0,       0
total,        463598,     474,     474,     474,     8.2,     4.3,    18.5,   111.9,   154.8,   154.8,  777.0,  0.00616,      0,      0,       0,       0,       0,       0
total,        464059,     456,     456,     456,     6.2,     3.3,    15.4,    80.0,    95.0,    95.0,  778.0,  0.00616,      0,      0,       0,       0,       0,       0
total,        464548,     482,     482,     482,     7.3,     3.9,    17.9,   100.6,   138.6,   138.6,  779.0,  0.00616,      0,      0,       0,       0,       0,       0
total,        465085,     533,     533,     533,     6.2,     3.4,    13.0,    67.8,   146.2,   146.2,  780.0,  0.00615,      0,      0,       0,       0,       0,       0
total,        465663,     569,     569,     569,     6.1,     3.6,    18.0,    54.1,    87.1,    87.1,  781.0,  0.00614,      0,      0,       0,       0,       0,       0
total,        466316,     596,     596,     596,     6.3,     3.9,    14.6,    55.0,   136.2,   136.2,  782.1,  0.00613,      0,      0,       0,       0,       0,       0
total,        466830,     511,     511,     511,     7.9,     4.2,    22.5,    94.3,   136.7,   136.7,  783.1,  0.00613,      0,      0,       0,       0,       0,       0
total,        467415,     570,     570,     570,     5.5,     3.6,    14.1,    30.4,    83.6,    83.6,  784.2,  0.00612,      0,      0,       0,       0,       0,       0
total,        467911,     488,     488,     488,     8.1,     4.6,    16.3,   120.0,   160.6,   160.6,  785.2,  0.00612,      0,      0,       0,       0,       0,       0
total,        468494,     574,     574,     574,     5.4,     2.9,    13.2,    56.0,   105.0,   105.0,  786.2,  0.00611,      0,      0,       0,       0,       0,       0
total,        469055,     555,     555,     555,     5.2,     2.3,    13.1,    78.5,    89.5,    89.5,  787.2,  0.00610,      0,      0,       0,       0,       0,       0
total,        469624,     561,     561,     561,     6.7,     3.1,    21.2,    93.2,   118.8,   118.8,  788.2,  0.00610,      0,      0,       0,       0,       0,       0
total,        470347,     716,     716,     716,     4.0,     2.4,     9.8,    37.5,    63.8,    63.8,  789.2,  0.00609,      0,      0,       0,       0,       0,       0
total,        470756,     404,     404,     404,     9.6,     3.1,    37.7,   156.5,   177.3,   177.3,  790.3,  0.00611,      0,      0,       0,       0,       0,       0
total,        471346,     556,     556,     556,     5.1,     3.3,    14.4,    26.1,    58.0,    58.0,  791.3,  0.00610,      0,      0,       0,       0,       0,       0
total,        471839,     486,     486,     486,     7.3,     3.3,    19.1,   125.9,   148.6,   148.6,  792.3,  0.00609,      0,      0,       0,       0,       0,       0
total,        472377,     530,     530,     530,     6.3,     3.4,    13.5,    60.5,   139.6,   139.6,  793.3,  0.00609,      0,      0,       0,       0,       0,       0
total,        472968,     625,     625,     625,     5.6,     3.5,    13.0,    27.8,   106.7,   106.7,  794.3,  0.00608,      0,      0,       0,       0,       0,       0
total,        473545,     528,     528,     528,     6.9,     3.1,    14.0,    97.4,   112.5,   112.5,  795.4,  0.00608,      0,      0,       0,       0,       0,       0
total,        474047,     491,     491,     491,     8.0,     3.6,    32.4,    93.3,   110.8,   110.8,  796.4,  0.00608,      0,      0,       0,       0,       0,       0
total,        474690,     636,     636,     636,     5.5,     3.3,    11.6,    74.8,   102.0,   102.0,  797.4,  0.00607,      0,      0,       0,       0,       0,       0
total,        475433,     722,     722,     722,     4.0,     2.6,    11.8,    22.5,    31.2,    31.2,  798.4,  0.00606,      0,      0,       0,       0,       0,       0
total,        476106,     655,     655,     655,     4.4,     3.0,    12.1,    25.9,    44.9,    44.9,  799.5,  0.00606,      0,      0,       0,       0,       0,       0
total,        476706,     565,     565,     565,     5.8,     3.0,    15.1,    86.4,    94.2,    94.2,  800.5,  0.00605,      0,      0,       0,       0,       0,       0
total,        477362,     623,     623,     623,     5.4,     3.2,    12.3,    67.8,    92.0,    92.0,  801.6,  0.00604,      0,      0,       0,       0,       0,       0
total,        478007,     564,     564,     564,     5.6,     2.9,    11.5,    75.2,   166.9,   166.9,  802.7,  0.00603,      0,      0,       0,       0,       0,       0
total,        478468,     443,     443,     443,     7.9,     3.5,    38.3,    74.4,   134.2,   134.2,  803.8,  0.00604,      0,      0,       0,       0,       0,       0
total,        479165,     687,     687,     687,     4.4,     3.0,    11.8,    33.3,    56.0,    56.0,  804.8,  0.00603,      0,      0,       0,       0,       0,       0
total,        479669,     498,     498,     498,     5.2,     2.6,    14.9,    54.3,    86.6,    86.6,  805.8,  0.00603,      0,      0,       0,       0,       0,       0
total,        480151,     477,     477,     477,     5.7,     2.6,    16.9,    72.5,   144.0,   144.0,  806.8,  0.00603,      0,      0,       0,       0,       0,       0
total,        480767,     609,     609,     609,     6.1,     3.2,    14.7,    67.1,   131.9,   131.9,  807.8,  0.00602,      0,      0,       0,       0,       0,       0
total,        481422,     649,     649,     649,     5.1,     2.4,    12.3,    65.7,   118.2,   118.2,  808.8,  0.00602,      0,      0,       0,       0,       0,       0
total,        482079,     645,     645,     645,     5.0,     2.9,    11.3,    59.2,    88.8,    88.8,  809.8,  0.00601,      0,      0,       0,       0,       0,       0
total,        482623,     536,     536,     536,     6.3,     3.1,    15.1,    65.0,   141.8,   141.8,  810.9,  0.00600,      0,      0,       0,       0,       0,       0
total,        483242,     616,     616,     616,     5.8,     2.8,    17.9,    59.2,    96.0,    96.0,  811.9,  0.00599,      0,      0,       0,       0,       0,       0
total,        483812,     556,     556,     556,     6.6,     3.3,    17.4,    82.7,    97.4,    97.4,  812.9,  0.00599,      0,      0,       0,       0,       0,       0
total,        484377,     556,     556,     556,     5.2,     2.5,    16.4,    70.7,    76.8,    76.8,  813.9,  0.00598,      0,      0,       0,       0,       0,       0
total,        485001,     614,     614,     614,     5.1,     3.0,    11.9,    74.0,    88.1,    88.1,  814.9,  0.00598,      0,      0,       0,       0,       0,       0
total,        485547,     540,     540,     540,     5.8,     2.9,    15.3,    80.1,    95.8,    95.8,  815.9,  0.00597,      0,      0,       0,       0,       0,       0
total,        486130,     570,     570,     570,     6.1,     3.7,    16.4,    37.3,   106.2,   106.2,  817.0,  0.00596,      0,      0,       0,       0,       0,       0
total,        486769,     631,     631,     631,     5.3,     3.2,    12.5,    76.7,   105.5,   105.5,  818.0,  0.00595,      0,      0,       0,       0,       0,       0
total,        487217,     441,     441,     441,     7.6,     2.5,    20.7,   123.3,   225.7,   225.7,  819.0,  0.00596,      0,      0,       0,       0,       0,       0
total,        487774,     564,     564,     564,     6.2,     2.4,    16.2,    82.7,   167.1,   167.1,  820.0,  0.00595,      0,      0,       0,       0,       0,       0
total,        488279,     481,     481,     481,     7.2,     2.8,    19.1,   114.8,   160.7,   160.7,  821.0,  0.00595,      0,      0,       0,       0,       0,       0
total,        488943,     658,     658,     658,     4.6,     2.8,    12.8,    54.9,    71.4,    71.4,  822.0,  0.00594,      0,      0,       0,       0,       0,       0
total,        489573,     627,     627,     627,     4.9,     3.0,    11.8,    55.1,    71.9,    71.9,  823.0,  0.00593,      0,      0,       0,       0,       0,       0
total,        490265,     684,     684,     684,     4.8,     2.8,    12.1,    59.9,    74.8,    74.8,  824.0,  0.00592,      0,      0,       0,       0,       0,       0
total,        490935,     660,     660,     660,     5.4,     3.3,    14.4,    44.3,    78.1,    78.1,  825.1,  0.00592,      0,      0,       0,       0,       0,       0
total,        491494,     555,     555,     555,     6.6,     3.0,    21.1,    83.9,   108.2,   108.2,  826.1,  0.00591,      0,      0,       0,       0,       0,       0
total,        491976,     479,     479,     479,     6.0,     2.5,    14.8,    84.0,   108.3,   108.3,  827.1,  0.00591,      0,      0,       0,       0,       0,       0
total,        492557,     569,     569,     569,     4.9,     2.7,    12.5,    63.6,    78.4,    78.4,  828.1,  0.00591,      0,      0,       0,       0,       0,       0
total,        493150,     585,     585,     585,     4.9,     2.6,    10.3,    54.2,   140.6,   140.6,  829.1,  0.00590,      0,      0,       0,       0,       0,       0
total,        493759,     602,     602,     602,     5.4,     3.1,    13.0,    64.9,    84.7,    84.7,  830.1,  0.00589,      0,      0,       0,       0,       0,       0
total,        494390,     600,     600,     600,     5.6,     2.9,    15.9,    52.6,   107.2,   107.2,  831.2,  0.00589,      0,      0,       0,       0,       0,       0
total,        494997,     598,     598,     598,     6.0,     3.4,    13.7,    79.2,    90.9,    90.9,  832.2,  0.00588,      0,      0,       0,       0,       0,       0
total,        495488,     495,     495,     495,     7.0,     3.1,    20.0,    97.3,   125.6,   125.6,  833.2,  0.00587,      0,      0,       0,       0,       0,       0
total,        496041,     515,     515,     515,     6.3,     2.8,    12.2,    88.7,   154.5,   154.5,  834.3,  0.00587,      0,      0,       0,       0,       0,       0
total,        496665,     617,     617,     617,     5.8,     3.3,    12.9,    72.9,    93.4,    93.4,  835.3,  0.00586,      0,      0,       0,       0,       0,       0
total,        497411,     739,     739,     739,     4.3,     3.0,    10.4,    23.2,    87.1,    87.1,  836.3,  0.00586,      0,      0,       0,       0,       0,       0
total,        498116,     700,     700,     700,     3.9,     2.8,     8.9,    16.7,    58.8,    58.8,  837.3,  0.00585,      0,      0,       0,       0,       0,       0
total,        498643,     510,     510,     510,     7.9,     3.7,    27.5,    85.5,   100.5,   100.5,  838.3,  0.00585,      0,      0,       0,       0,       0,       0
total,        499159,     511,     511,     511,     6.6,     3.0,    16.4,    94.8,   131.5,   131.5,  839.3,  0.00585,      0,      0,       0,       0,       0,       0
total,        499712,     543,     543,     543,     5.8,     3.2,    13.5,    64.0,    87.1,    87.1,  840.3,  0.00584,      0,      0,       0,       0,       0,       0
total,        500000,     519,     519,     519,     5.0,     2.6,    12.0,    65.5,    88.6,    88.6,  840.9,  0.00584,      0,      0,       0,       0,       0,       0


Results:
op rate                   : 595 [WRITE:595]
partition rate            : 595 [WRITE:595]
row rate                  : 595 [WRITE:595]
latency mean              : 5.6 [WRITE:5.6]
latency median            : 3.0 [WRITE:3.0]
latency 95th percentile   : 11.1 [WRITE:11.1]
latency 99th percentile   : 43.0 [WRITE:43.0]
latency 99.9th percentile : 120.0 [WRITE:120.0]
latency max               : 527.2 [WRITE:527.2]
Total partitions          : 500000 [WRITE:500000]
Total errors              : 0 [WRITE:0]
total gc count            : 0
total gc mb               : 0
total gc time (s)         : 0
avg gc time(ms)           : NaN
stdev gc time(ms)         : 0
Total operation time      : 00:14:00
END
{'--id': None,
 '-f': False,
 '-o': None}
ccm command: /usr/local/bin/ccm node1 nodetool cfstats keyspace1.standard1
c* version: ReleaseVersion: 3.0.0-SNAPSHOT
Space used (live): 4413680628
Space used (total): 4413680628
Space used by snapshots (total): 0
Bloom filter space used: 434840
http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  19:08:36 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  19:08:36 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
